fecha;departamento;mes;anio;precipitation;temp_aire_C;humedad_relativa_pct;soil;def;pet;aet;GDD_cafe;NDVI;EVI;LST_Day_1km;LST_Night_1km;Gpp;Lai_500m;Fpar_500m;elevacion_media_m;elevacion_std_m;pendiente_media;pendiente_std;aspecto_medio;NDVI_anomalia_pct;EVI_anomalia_pct;Gpp_anomalia_pct;Lai_500m_anomalia_pct;precipitation_anomalia_pct;indice_perdida;evento_perdida;n_municipios;area_cosechada_ha;area_sembrada_ha;produccion_t_original;rendimiento_t_ha_original;produccion_t;rendimiento_t_ha;correccion_aplicada;motivo_correccion;delta_produccion_t;delta_rendimiento_t_ha;rendimiento_medio_municipal_reportado;dif_rendimiento_calculado_vs_reportado;rendimiento_medio_t_ha;produccion_media_t;factor_mensual_raw;factor_mensual;es_mes_cosecha;produccion_mensual_t;area_mensual_ha;perdida_real_pct;perdida_real_mensual_pct;evento_perdida_real;precio_ico_usd_ton;precio_productor_usd_ton;tiene_observacion_agronet;evento_perdida_real_disponible;anio_completo;cobertura_climatica_completa
2000-01-01;Cundinamarca;1;2000;58.122069916052325;16.040528741300353;80.99285825965381;1030.0103310543077;87.17052989335427;969.0421858001612;881.6609889542688;7.203958119922816;;;;;0.0451040415355179;;;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;;;-15.291502017867838;;-6.983226993230808;-15.291502017867838;1;;;;;;;;0;sin_correccion;;;;;;;0.04;0.0421052631578947;0;;;;;;;;0;0;1;0
2000-02-01;Cundinamarca;2;2000;102.48023978116797;16.36460072838709;77.9211060557492;1096.139028515615;4.391722451183584;1015.4099705394226;1010.7904209448036;7.418555796428201;0.2757036434572768;0.1949527705265738;25.12039802834253;7.237869250738184;0.046012297281769;1.0031041081364271;0.2869762409536958;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;-50.82730651505142;-44.41482160581203;-2.6406395721826312;-43.95720215127264;25.53648332811329;-32.62758923101536;1;;;;;;;;0;sin_correccion;;;;;;;0.035;0.0368421052631579;0;;;;;;;;0;0;1;1
2000-03-01;Cundinamarca;3;2000;126.66917650008462;16.723543604414562;77.87387417074778;1071.2707871771045;24.69789805528424;1135.673348897412;1110.8074858454236;7.621710301673141;0.5041738625564722;0.3316475625920313;23.90799178278876;11.39350498851277;0.044515087715867;1.4846092450041954;0.3739751396996728;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;-3.017616555315557;-2.038318043587117;2.4441492225517982;-7.367417440667151;-10.835857153956324;-0.8705951254502918;0;;;;;;;;0;sin_correccion;;;;;;;0.045;0.0473684210526315;0;;;;;;;;0;0;1;1
2000-04-01;Cundinamarca;4;2000;146.96613525731914;16.6788420470783;81.24082395976563;1098.6224519776697;11.807116595596003;990.8751697358078;978.952966306946;7.806545449492181;0.4388068969495387;0.3070353259206537;23.645491329409108;6.576422087980934;0.0480261633683665;1.1498134093034746;0.3005404308199297;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;-15.700154536260484;-12.968767895721331;8.392346703991523;-24.035018661315146;-30.17553055973819;-6.758858575996764;0;;;;;;;;0;sin_correccion;;;;;;;0.075;0.0789473684210526;1;;;;;;;;0;0;1;1
2000-05-01;Cundinamarca;5;2000;238.1096565769376;16.730210458465987;83.15257228546456;1182.5567334492696;0.0;891.637309320183;891.5140791385757;7.702863274332772;0.430630496111754;0.2861623174189002;23.446428566307382;8.874899568523242;0.0496902444478018;1.030763827869441;0.2670159776037732;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;-16.58400753078576;-16.898202636063246;3.782528653095201;-34.93271812069809;13.44633124557133;-9.899893837917936;0;;;;;;;;0;sin_correccion;;;;;;;0.09;0.0947368421052631;1;;;;;;;;0;0;1;1
2000-06-01;Cundinamarca;6;2000;157.27686546790403;16.506541560752318;81.40707101576814;1192.2472901827189;0.0;866.2679602321901;866.0587266042511;7.442206644908728;0.5752171943299973;0.3662261757656763;22.408836836798702;10.405196477386845;0.0524501415743611;1.769936485053682;0.421062708494305;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;8.872389007828998;4.971794784534658;3.745207656923256;0.7565702737332819;0.3854131624167456;5.863130483095637;0;;;;;;;;0;sin_correccion;;;;;;;0.08;0.0842105263157894;1;;;;;;;;0;0;1;1
2000-07-01;Cundinamarca;7;2000;140.56331206049632;16.195464991310597;79.64914542930295;1183.8761663132982;5.516779029786153;906.576942929064;900.7312139187334;7.184484360483121;0.4835456232477571;0.3184336756382401;21.55508830792552;9.85415639063566;0.0515793807476221;1.9886213662420933;0.4667141755433117;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;-6.034464636824903;-6.88131443865721;1.1473016984900637;16.596657861940916;5.837757609671634;-3.922825792330683;0;;;;;;;;0;sin_correccion;;;;;;;0.055;0.0578947368421052;0;;;;;;;;0;0;1;1
2000-08-01;Cundinamarca;8;2000;133.56816023037655;16.68267217679175;74.59126785512031;1107.8222558385146;46.69657590267688;1020.4349564444016;973.5932971230276;7.7073746734322786;0.4979548461138056;0.3172415265044797;24.606240837936785;11.498255559650314;0.0542555380963363;1.0132315020326152;0.2630263410178712;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;-7.3843870519478685;-10.52322943599185;5.950956665573286;-38.708655742592896;7.272244455928901;-3.985553274122144;0;;;;;;;;0;sin_correccion;;;;;;;0.05;0.0526315789473684;0;;;;;;;;0;0;1;1
2000-09-01;Cundinamarca;9;2000;173.11553380791642;16.667523900194492;79.74172654364799;1190.3869817598525;0.0;940.0312988858972;939.8237566603932;7.35416418514902;0.5688128454218269;0.3775106296686878;23.281314306893133;11.755304189975195;0.0533382854418376;1.8296914501036088;0.4328347990544764;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1.8576278791723144;0.799352266688889;6.668454131563209;2.5633482934724428;35.98831180703844;3.108478092474805;0;;;;;;;;0;sin_correccion;;;;;;;0.06;0.0631578947368421;0;;;;;;;;0;0;1;1
2000-10-01;Cundinamarca;10;2000;182.99660391413963;16.789214384109282;79.85468519365087;1193.659889145643;0.0;977.765014174429;977.6838030349954;7.722050964417028;0.5291695760435567;0.3607486421474715;23.764236678858413;11.771867220795649;0.0483177207632737;1.6146341101306372;0.3889144885209648;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;-6.499607220728809;-4.144111724602397;6.42801742149227;-9.353676983403956;-12.216585418934269;-1.405233841279645;0;;;;;;;;0;sin_correccion;;;;;;;0.12;0.1263157894736842;1;;;;;;;;0;0;1;1
