departamento;anio;rendimiento_t_ha;produccion_t;area_cosechada_ha;area_sembrada_ha;rendimiento_referencia_fullsample;rendimiento_referencia_prev;rendimiento_referencia_prev3;perdida_rendimiento_anual_pct;perdida_rendimiento_anual_pct_prev;perdida_rendimiento_anual_pct_prev3;evento_perdida_anual;perdida_real_pct;evento_perdida_real;diff_target_vs_perdida_real_pct;precio_ico_usd_ton;precio_productor_usd_ton;correccion_aplicada;motivo_correccion;n_municipios;produccion_t_original;rendimiento_t_ha_original;delta_produccion_t;delta_rendimiento_t_ha;rendimiento_medio_municipal_reportado;dif_rendimiento_calculado_vs_reportado;rendimiento_medio_t_ha;produccion_media_t;precipitation_annual_sum;temp_aire_C_annual_mean;humedad_relativa_pct_annual_mean;soil_annual_mean;def_annual_mean;pet_annual_mean;aet_annual_mean;GDD_cafe_annual_mean;NDVI_annual_mean;EVI_annual_mean;LST_Day_1km_annual_mean;LST_Night_1km_annual_mean;Gpp_annual_mean;Lai_500m_annual_mean;Fpar_500m_annual_mean;NDVI_anomalia_pct_annual_mean;EVI_anomalia_pct_annual_mean;Gpp_anomalia_pct_annual_mean;Lai_500m_anomalia_pct_annual_mean;precipitation_anomalia_pct_annual_mean;indice_perdida_annual_mean;precipitation_cosecha_sum;temp_aire_C_cosecha_mean;humedad_relativa_pct_cosecha_mean;soil_cosecha_mean;def_cosecha_mean;pet_cosecha_mean;aet_cosecha_mean;GDD_cafe_cosecha_mean;NDVI_cosecha_mean;EVI_cosecha_mean;LST_Day_1km_cosecha_mean;LST_Night_1km_cosecha_mean;Gpp_cosecha_mean;Lai_500m_cosecha_mean;Fpar_500m_cosecha_mean;NDVI_anomalia_pct_cosecha_mean;EVI_anomalia_pct_cosecha_mean;Gpp_anomalia_pct_cosecha_mean;Lai_500m_anomalia_pct_cosecha_mean;precipitation_anomalia_pct_cosecha_mean;indice_perdida_cosecha_mean;elevacion_media_m;elevacion_std_m;pendiente_media;pendiente_std;aspecto_medio;disponible_referencia_prev;disponible_referencia_prev3;listo_para_modelado_principal;version_target_principal
Cundinamarca;2007;0.7840832346583816;33729.14373027;43017.3;48195.69;0.9251179044303588;;;-15.245048128089069;;;1;-15.245048128089076;1;8.881784197001252e-15;2750.0;2145.0;0;sin_correccion;65.0;33729.14373027;0.7840832346583816;0.0;0.0;0.629565479602962;0.1545177550554195;0.9251179044303588;30017.74408586024;1687.7938908576732;17.04963947435158;78.10854415051716;1041.0845810404107;84.3628997890379;914.5250729235322;830.046049026848;7.766689728237423;0.5592740204481795;0.3581575372360174;23.882376430155663;11.317329909497571;0.0476870268382455;1.85724993661975;0.443968048218907;-0.1951602559812476;-1.6703012731499385;-0.7855127427496834;2.8002241655562763;-6.275240321676812;-0.8836580906269563;1098.3470691098514;16.752370813266513;82.92781725138737;1187.465469185506;0.673782997567451;836.7459289875673;835.9603579208721;7.622967603952433;0.5531304899889897;0.3581654399524445;22.57080562547021;11.000249227816925;0.0452571432521069;1.7936700947352764;0.4285538463246452;-1.8361367726993232;-2.96198707044235;-2.9896398635445003;0.0263929400964156;3.079408209616911;-2.595921235562058;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;0;0;1;perdida_vs_referencia_fullsample
Cundinamarca;2008;0.8189230421504248;35732.35572121423;43633.35;48989.09;0.9251179044303588;0.7840832346583816;0.7840832346583816;-11.479062481805872;4.443381257504198;4.443381257504198;0;-11.479062481805885;0;1.2434497875801752e-14;2900.0;2262.0;1;Outlier de rendimiento de Cundinamarca 2008 corregido con promedio 2007-2009;66.0;78254.74562576;1.7934617815446212;-42522.389904545766;-0.9745387393941964;1.908602362819928;-0.1151405812753063;0.9251179044303588;30017.74408586024;1906.311791461725;16.676311697643126;80.93754906640633;1116.4929101386208;24.495231846540293;879.463228871366;854.8185418337553;7.530276103580534;0.5492322805395405;0.3591430252424655;23.04118701823456;10.537202301530504;0.0460014247112525;1.6878770279703652;0.4208675576579416;-2.102304885904997;-1.553012545820453;-4.110201327139639;-7.360824852215411;9.353536313373269;-2.58850625295503;1158.837925970584;16.641577469239575;83.54247457672223;1189.154815600077;0.285093953567165;828.7333586117267;828.3215385144773;7.464702330376691;0.5474745044522921;0.3539550987313736;22.929063596671668;9.98672248996112;0.0440840147862371;1.7288907982945128;0.4266248783269126;-3.0506965730474485;-4.335153094683973;-5.295258504142994;-5.319883516662084;7.398212170384833;-4.227036057291472;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
Cundinamarca;2009;0.8537628496424681;37118.057049;43475.84;48581.3;0.9251179044303588;0.8015031384044031;0.8015031384044031;-7.713076835522667;6.520212926689377;6.520212926689377;0;-7.713076835522678;0;1.0658141036401504e-14;2600.0;2028.0;0;sin_correccion;69.0;37118.057049;0.8537628496424681;0.0;0.0;0.7515950763641155;0.1021677732783525;0.9251179044303588;30017.74408586024;1588.43437267157;17.222820163893022;78.46731264938413;1124.3908112379002;29.993427948638537;939.235693223538;909.1668817315305;8.070870192142259;0.554271080530976;0.3617462509781868;23.92791628584869;12.172006858180543;0.048054976604519;1.7965301000616314;0.4358882370270708;-0.9925923389056228;-0.6570073388956003;0.3982297855951726;-0.6804734627345567;-4.4014265159567;-0.4171232974020168;888.1028491031805;17.276535647496875;79.59404340794858;1163.3110989351312;16.596302737213236;919.1171488090044;902.484832964084;8.18737092799496;0.569246839383618;0.3718362284801109;23.970807077493685;11.922794474277588;0.0477422144174993;1.9400120871915192;0.4632852352116707;0.8689992930168158;0.6296888657767074;2.5472449698287662;6.786979427298257;-16.970569931553463;1.3486443762074298;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
Cundinamarca;2010;0.8407433914932534;37214.8;44264.16;49357.78;0.9251179044303588;0.8189230421504248;0.8189230421504248;-9.120406440415724;2.66451769210574;2.66451769210574;0;-9.120406440415731;0;8.881784197001252e-15;3500.0;2730.0;0;sin_correccion;69.0;37214.8;0.8407433914932534;0.0;0.0;0.7833933366268326;0.0573500548664207;0.9251179044303588;30017.74408586024;1990.662585734783;17.267404014993897;80.52114623302211;993.51151291845;92.00058729251202;923.1235441763082;831.0514822270397;8.299792760188781;0.5672360318052844;0.3670383896958791;23.98253838400655;11.46488673684451;0.0452722339604074;1.7939995537752198;0.4373795992217718;1.4521305806921887;0.8944286321937375;-5.701728817042214;-0.8329446077517609;11.336852504601351;-1.118389868052096;1289.9329454988251;16.860968910776943;85.50886823931889;1191.9911796936417;0.0;843.3014832196468;843.2370736090929;8.07417114001583;0.5523351334955107;0.366026844071829;23.063761434985437;10.930399083547654;0.0443505709716668;1.7371067847761548;0.4238989017143577;-1.6599497762120716;-0.673494406077765;-4.852862597524903;-3.0538373000224524;24.02687209877372;-2.39543559327158;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
Cundinamarca;2011;0.8746354599271536;32780.3487;37478.87;46123.78;0.9251179044303588;0.824378129486132;0.8378097610953822;-5.456866012585684;6.096392983199235;4.3954726409040905;0;-5.456866012585696;0;1.1546319456101628e-14;5900.0;4602.0;0;sin_correccion;69.0;32780.3487;0.8746354599271536;0.0;0.0;0.8545157027650665;0.0201197571620871;0.9251179044303588;30017.74408586024;2116.1880100459457;16.65907669043172;82.68858535271833;1154.7529020521818;13.84818472020392;893.8932318756569;879.9728406164222;8.022986215334855;0.5656227310331231;0.3729651460905994;22.78744510373588;10.909605796270712;0.0460288344332713;1.7701503626139286;0.4353068438056315;1.0220057060474947;2.514288185475103;-4.1947497475604605;-2.2659080169814065;20.39598118804395;-0.2194852853459545;1356.913768849172;16.564442055821345;86.04705692382538;1194.0732060943424;0.0297596832127646;816.3268317570734;816.2460222926312;7.988943614624945;0.5525384404571944;0.3659211380920122;22.23567091501515;9.874574154015086;0.0421608224126594;1.6777794303359217;0.4165960324280777;-1.939739675442092;-0.8125381065948263;-9.515386497607816;-7.185136966561672;26.53355609238929;-4.089221426548245;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
Cundinamarca;2012;0.8281467978800842;30786.4069;37175.06;45269.86;0.9251179044303588;0.8344295955743363;0.8563805670209584;-10.48202678662722;-0.7529452128226192;-3.296871768014244;0;-10.482026786627232;0;1.0658141036401504e-14;4000.0;3120.0;0;sin_correccion;68.0;30786.4069;0.8281467978800842;0.0;0.0;0.7324131928767135;0.0957336050033706;0.9251179044303588;30017.74408586024;1705.598743332204;16.881436931548986;79.31641794278575;1052.3238287898396;55.266972919032376;949.000746109642;893.6889844438621;8.249780633839167;0.5650093202832412;0.3664669420159672;23.645983984399948;11.805136995273449;0.0474319688167832;1.806101424730064;0.4421606322232569;0.6194298617904967;0.4472813774950024;-0.9944115454688276;-0.6374652620362885;-0.9590818533037874;0.0240998979388904;1014.1897467313476;16.88068074663573;81.38572096335092;1156.0218830153017;12.834679970248256;928.2370219935252;915.3666048603332;8.158683194235998;0.5775965284710347;0.3781904950346852;23.340023310197093;11.62466609799567;0.0466153779632225;1.9352820747470536;0.46316104218401;2.1254028671867022;2.1787159052690166;-0.0631147476191449;6.2332808531400055;-6.084328937658913;1.4136680082788575;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
Cundinamarca;2013;0.6906413672539693;24993.744755;36189.18;41994.28;0.9251179044303588;0.8333824626252943;0.8478418831001638;-25.34558417402681;-17.127921665361978;-18.54125385636592;1;-25.34558417402682;1;3.552713678800501e-15;3100.0;2418.0;0;sin_correccion;70.0;24993.744755;0.6906413672539693;0.0;0.0;0.6808667314716379;0.0097746357823313;0.9251179044303588;30017.74408586024;1779.871185296182;17.120631827643475;79.28919392766709;1027.2372261397113;55.11961080538816;941.3761186681598;886.2182107662135;8.428304967932174;0.5696872256591502;0.3691588979675591;23.94162860118696;11.9796710429692;0.0468750487585457;1.820060730250652;0.4447164431198347;1.9746000837554776;1.46827043896462;-2.3743407067829865;1.346148067978519;2.4271189733346312;0.3561766053123705;1098.5114720936042;17.012151505112108;81.64488224177741;1134.3305202849176;7.131068468711702;904.4717808429486;897.3098978805857;8.31656608248432;0.5741406417795537;0.3743443354330705;23.368296598471044;11.625074234532518;0.044928641510559;1.795454252900756;0.4351485020375027;2.2223812748126304;1.5982921220391315;-3.682502847104774;0.3448996390237644;4.679113178746408;0.0460568499156629;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
Cundinamarca;2014;0.7470527270477766;25118.55725;33623.54;37996.32;0.9251179044303588;0.8129908775722479;0.7978078750204024;-19.24783603579976;-8.110564625445207;-6.361825893399191;1;-19.24783603579977;1;1.0658141036401504e-14;4200.0;3276.0;0;sin_correccion;69.0;25118.55725;0.7470527270477766;0.0;0.0;0.7368353500774182;0.0102173769703584;0.9251179044303588;30017.74408586024;1641.9005832382477;17.217288228143826;78.31164138575879;998.588596466848;50.52394002800475;942.550979967866;892.0016980198151;8.530630894431608;0.5383134042234373;0.3518649112388034;24.00626817639359;11.756845363892646;0.04739224453588;1.7028317460822529;0.4160416635310566;-4.035541811437371;-3.5677294916021567;-1.269454501039374;-6.40010323946693;-1.017699268479092;-2.957575268026301;984.296785269808;17.131269109155003;80.83189809102454;1114.1143767883466;3.5834431818482613;904.9935798175192;901.3972658307592;8.475621305847387;0.5527676491800763;0.3636019164825942;23.17748792904932;11.466052456540718;0.046257308230088;1.7560923149834282;0.4230822527879835;-1.88429929482433;-1.5935842366233073;-0.7392943623184743;-3.2585382098124835;-6.542725808266102;-1.405725964588704;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
Cundinamarca;2015;0.9138944444949474;31165.16226;34101.49;37916.38;0.9251179044303588;0.804748608756689;0.7552802973939433;-1.2131923813886458;13.562724377602253;21.000699693649395;0;-1.2131923813886578;0;1.199040866595169e-14;2900.0;2262.0;0;sin_correccion;69.0;31165.16226;0.9138944444949474;0.0;0.0;0.9268771622366028;-0.0129827177416552;0.9251179044303588;30017.74408586024;1360.029343439595;17.495406004634336;76.58535051863363;937.3878890027077;91.38990432591396;946.6598719404542;855.2588477684872;8.774734510697655;0.5418632255083099;0.3516704513470353;25.25253790118951;12.126920123149974;0.0465620719918885;1.7214727124637177;0.4198076442886174;-3.5443877339637644;-3.553203981696433;-2.864853393621725;-5.039829801844271;-18.63323676527192;-3.3208150364273084;774.9445399331372;17.49106787637478;78.54361782561108;1001.4950091716888;63.134803318219234;917.5970002091092;854.4530510094155;8.693284516917995;0.5397308311495602;0.355477910908985;25.126940604423023;11.907536788382933;0.0462483492485132;1.7573121662380142;0.419422498231471;-4.596356485438365;-3.930756041387539;-0.6686266418561796;-2.8634842385501487;-28.96460632078919;-3.0652463895606945;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
Cundinamarca;2016;0.9457814670789428;31413.33946;33214.16263;37679.83;0.9251179044303588;0.8168759238387177;0.7838628462655645;2.2336139587858943;15.780308793343265;20.656498976164265;0;2.2336139587858823;0;1.199040866595169e-14;2950.0;2301.0;0;sin_correccion;69.0;31413.33946;0.9457814670789428;0.0;0.0;0.958576849731014;-0.012795382652071;0.9251179044303588;30017.74408586024;1649.8413283196503;17.70165580478793;78.84718096849885;929.6825493722752;89.76506810607926;903.2104862980522;813.4454181919729;8.866584230650117;0.5543200758680357;0.3567270157933204;24.836620472921428;12.308529436868549;0.0458859110973811;1.803131051105325;0.4341707953013194;-1.0894476891047822;-2.3036809538398666;-4.327875579707269;-0.8738662626374779;-6.356902540783042;-2.573668074217306;1019.0622895927364;17.352089243040016;82.95360879979002;1092.8465012586255;26.701425780784707;841.6862362457747;814.98481046499;8.67827672826124;0.5783377010902618;0.3760126490541666;23.77888123756736;11.746445089828129;0.045710627490785;1.8945624361414584;0.4442521841987969;2.564924053315869;1.73668209120664;-1.9817471807812987;4.3331397141483405;-3.8089107742076873;0.7732863212470699;1895.307360615444;1086.421734095347;14.454071264657363;10.320920828240746;185.2950990245836;1;1;1;perdida_vs_referencia_fullsample
