fecha,departamento,precipitation,temp_aire_C,humedad_relativa_pct,soil,def,pet,aet,GDD_cafe,NDVI,EVI,LST_Day_1km,LST_Night_1km,Gpp,Lai_500m,Fpar_500m,elevacion_media_m,elevacion_std_m,pendiente_media,pendiente_std,aspecto_medio,fecha_dt,mes,anio,NDVI_anomalia_pct,EVI_anomalia_pct,Gpp_anomalia_pct,Lai_500m_anomalia_pct,precipitation_anomalia_pct,indice_perdida,evento_perdida
2000-01,Cundinamarca,58.122069916052325,16.040528741300353,80.99285825965381,1030.0103310543075,87.17052989335427,969.0421858001611,881.6609889542688,7.203958119922816,,,,,0.045104041535517975,,,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-01-01,1,2000,,,-15.291502017867838,,-6.983226993230808,-15.291502017867838,1
2000-02,Cundinamarca,102.48023978116795,16.36460072838709,77.9211060557492,1096.1390285156153,4.391722451183584,1015.4099705394226,1010.7904209448035,7.418555796428201,0.2757036434572768,0.19495277052657384,25.12039802834253,7.237869250738184,0.046012297281769005,1.0031041081364271,0.2869762409536958,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-02-01,2,2000,-50.82730651505142,-44.41482160581203,-2.6406395721826312,-43.95720215127264,25.53648332811329,-32.62758923101536,1
2000-03,Cundinamarca,126.66917650008462,16.723543604414562,77.87387417074778,1071.2707871771045,24.697898055284238,1135.673348897412,1110.8074858454236,7.621710301673141,0.5041738625564722,0.3316475625920313,23.907991782788756,11.39350498851277,0.044515087715867006,1.4846092450041954,0.37397513969967283,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-03-01,3,2000,-3.017616555315557,-2.038318043587117,2.4441492225517982,-7.367417440667151,-10.835857153956324,-0.8705951254502918,0
2000-04,Cundinamarca,146.96613525731914,16.6788420470783,81.24082395976563,1098.6224519776697,11.807116595596003,990.8751697358078,978.9529663069461,7.806545449492181,0.4388068969495387,0.30703532592065375,23.645491329409108,6.576422087980934,0.04802616336836653,1.1498134093034746,0.3005404308199297,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-04-01,4,2000,-15.700154536260483,-12.968767895721331,8.392346703991523,-24.035018661315142,-30.17553055973819,-6.758858575996764,0
2000-05,Cundinamarca,238.1096565769376,16.730210458465987,83.15257228546456,1182.5567334492696,0.0,891.637309320183,891.5140791385757,7.702863274332772,0.430630496111754,0.28616231741890025,23.446428566307386,8.874899568523242,0.049690244447801867,1.030763827869441,0.2670159776037732,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-05-01,5,2000,-16.58400753078576,-16.898202636063246,3.782528653095201,-34.93271812069809,13.44633124557133,-9.899893837917935,0
2000-06,Cundinamarca,157.27686546790403,16.506541560752318,81.40707101576814,1192.2472901827189,0.0,866.2679602321901,866.0587266042511,7.442206644908728,0.5752171943299973,0.36622617576567634,22.408836836798702,10.405196477386843,0.05245014157436112,1.769936485053682,0.421062708494305,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-06-01,6,2000,8.872389007828998,4.971794784534658,3.745207656923256,0.7565702737332819,0.38541316241674567,5.863130483095637,0
2000-07,Cundinamarca,140.56331206049632,16.195464991310597,79.64914542930295,1183.8761663132982,5.516779029786153,906.5769429290641,900.7312139187334,7.184484360483121,0.48354562324775713,0.3184336756382401,21.55508830792552,9.85415639063566,0.05157938074762215,1.9886213662420935,0.46671417554331174,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-07-01,7,2000,-6.034464636824903,-6.88131443865721,1.1473016984900637,16.596657861940916,5.837757609671634,-3.922825792330683,0
2000-08,Cundinamarca,133.56816023037655,16.68267217679175,74.59126785512031,1107.8222558385146,46.696575902676884,1020.4349564444016,973.5932971230277,7.7073746734322786,0.4979548461138056,0.3172415265044797,24.606240837936785,11.498255559650314,0.05425553809633637,1.0132315020326152,0.2630263410178712,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-08-01,8,2000,-7.3843870519478685,-10.52322943599185,5.950956665573286,-38.708655742592896,7.2722444559289015,-3.9855532741221444,0
2000-09,Cundinamarca,173.11553380791642,16.667523900194492,79.74172654364799,1190.3869817598525,0.0,940.0312988858972,939.8237566603931,7.35416418514902,0.5688128454218269,0.37751062966868787,23.281314306893133,11.755304189975197,0.0533382854418376,1.8296914501036086,0.4328347990544764,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-09-01,9,2000,1.8576278791723146,0.799352266688889,6.668454131563209,2.5633482934724428,35.98831180703844,3.1084780924748046,0
2000-10,Cundinamarca,182.99660391413965,16.789214384109282,79.85468519365087,1193.659889145643,0.0,977.765014174429,977.6838030349954,7.722050964417028,0.5291695760435567,0.3607486421474715,23.764236678858413,11.771867220795647,0.048317720763273744,1.6146341101306372,0.38891448852096483,1895.3073606154435,1086.421734095347,14.454071264657363,10.320920828240746,185.2950990245836,2000-10-01,10,2000,-6.499607220728809,-4.144111724602397,6.42801742149227,-9.353676983403956,-12.216585418934267,-1.405233841279645,0
