anio;departamento;n_municipios;area_cosechada_ha;area_sembrada_ha;produccion_t_original;rendimiento_t_ha_original;produccion_t;rendimiento_t_ha;correccion_aplicada;motivo_correccion;delta_produccion_t;delta_rendimiento_t_ha;rendimiento_medio_municipal_reportado;dif_rendimiento_calculado_vs_reportado;rendimiento_medio_t_ha;produccion_media_t;perdida_real_pct;evento_perdida_real
2007;Cundinamarca;65;43017.3;48195.69;33729.14373027;0.7840832346583816;33729.14373027;0.7840832346583816;0;;0.0;0.0;0.629565479602962;0.15451775505541954;0.9251179044303589;30017.74408586024;-15.245048128089076;1
2008;Cundinamarca;66;43633.35;48989.09;78254.74562576;1.7934617815446212;35732.35572121423;0.8189230421504248;1;Outlier de rendimiento de Cundinamarca 2008 corregido con promedio 2007-2009;-42522.389904545766;-0.9745387393941964;1.9086023628199276;-0.11514058127530635;0.9251179044303589;30017.74408586024;-11.479062481805883;0
2009;Cundinamarca;69;43475.840000000004;48581.3;37118.057049;0.8537628496424681;37118.057049;0.8537628496424681;0;;0.0;0.0;0.7515950763641155;0.10216777327835258;0.9251179044303589;30017.74408586024;-7.713076835522678;0
2010;Cundinamarca;69;44264.159999999996;49357.78;37214.8;0.8407433914932534;37214.8;0.8407433914932534;0;;0.0;0.0;0.7833933366268326;0.05735005486642075;0.9251179044303589;30017.74408586024;-9.120406440415733;0
2011;Cundinamarca;69;37478.87;46123.78;32780.3487;0.8746354599271536;32780.3487;0.8746354599271536;0;;0.0;0.0;0.8545157027650665;0.020119757162087137;0.9251179044303589;30017.74408586024;-5.456866012585696;0
2012;Cundinamarca;68;37175.06;45269.86;30786.406899999998;0.8281467978800842;30786.406899999998;0.8281467978800842;0;;0.0;0.0;0.7324131928767135;0.09573360500337069;0.9251179044303589;30017.74408586024;-10.482026786627232;0
2013;Cundinamarca;70;36189.18;41994.28;24993.744755;0.6906413672539693;24993.744755;0.6906413672539693;0;;0.0;0.0;0.6808667314716379;0.009774635782331398;0.9251179044303589;30017.74408586024;-25.34558417402682;1
2014;Cundinamarca;69;33623.54;37996.32;25118.557249999998;0.7470527270477766;25118.557249999998;0.7470527270477766;0;;0.0;0.0;0.7368353500774182;0.010217376970358405;0.9251179044303589;30017.74408586024;-19.24783603579977;1
2015;Cundinamarca;69;34101.49;37916.38;31165.16226;0.9138944444949474;31165.16226;0.9138944444949474;0;;0.0;0.0;0.9268771622366027;-0.01298271774165527;0.9251179044303589;30017.74408586024;-1.2131923813886578;0
2016;Cundinamarca;69;33214.16263;37679.83;31413.33946;0.9457814670789428;31413.33946;0.9457814670789428;0;;0.0;0.0;0.9585768497310139;-0.01279538265207103;0.9251179044303589;30017.74408586024;2.2336139587858823;0
