fecha;departamento;mes;anio;precipitation;temp_aire_C;humedad_relativa_pct;soil;def;pet;aet;GDD_cafe;NDVI;EVI;LST_Day_1km;LST_Night_1km;Gpp;Lai_500m;Fpar_500m;elevacion_media_m;elevacion_std_m;pendiente_media;pendiente_std;aspecto_medio;NDVI_anomalia_pct;EVI_anomalia_pct;Gpp_anomalia_pct;Lai_500m_anomalia_pct;precipitation_anomalia_pct;area_cosechada_ha;area_sembrada_ha;produccion_t;rendimiento_t_ha;rendimiento_medio_t_ha;produccion_media_t;factor_mensual;produccion_mensual_t;es_mes_cosecha;perdida_real_pct;perdida_real_mensual_pct;precio_ico_usd_ton;precio_productor_usd_ton
2001-02;Cundinamarca;2;2001;64.45167589;16.99119667;68.50960684;473.7706244;380.9217587;1038.520027;657.4577586;7.848648665;0.566827978;0.340391019;26.17729292;12.11809608;0.047940499;1.833810646;0.439552708;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;1.095720227;-2.947285942;1.439324754;2.453851473;-21.04783564;;;;;;;;;;;;1450;1131
2001-03;Cundinamarca;3;2001;136.3282881;17.04871486;76.25668655;706.3263454;45.05640787;1123.038243;1077.949218;8.219252408;0.555751675;0.344457111;25.85441921;12.38069697;0.046709573;1.591207084;0.389621403;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;6.903840154;1.745351811;7.494395263;-0.716217355;-4.036678123;;;;;;;;;;;;1450;1131
2001-04;Cundinamarca;4;2001;110.0499635;17.3195313;77.07699266;788.7726612;34.3472338;1026.778375;992.4022758;8.241742105;0.528085335;0.337077401;25.82241501;11.92621348;0.051222475;1.975937552;0.44871197;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;1.451259;-4.453139414;15.60624179;30.54471103;-47.71461943;;;;;;;;;;;;1450;1131
2001-05;Cundinamarca;5;2001;202.6410272;17.08800252;81.17069401;1058.535488;0.022869667;889.9907926;889.9043921;8.153179122;0.501051389;0.332635404;23.20223092;10.74253106;0.048984655;1.629522499;0.39338566;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-2.943012034;-3.402375902;2.30884206;2.864106133;-3.4525461;;;;;;;;;;;;1450;1131
2001-06;Cundinamarca;6;2001;131.0257994;16.39203591;78.88349983;1111.782083;0.157943636;866.3202944;865.9574529;7.459692014;0.375840209;0.249284885;24.91120734;7.366425671;0.053491524;1.376526316;0.349685639;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-28.86405014;-28.54721069;5.805038822;-21.63895616;-16.36990624;;;;;;;;;;;;1450;1131
2001-07;Cundinamarca;7;2001;123.7212069;16.59908353;76.51232548;1080.416287;29.28228951;923.3922863;893.8643821;7.649199959;0.495775168;0.327954673;25.57941424;11.46085154;0.055611365;1.915194876;0.435012773;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-3.657944842;-4.097115408;9.054032516;12.29152291;-6.843578773;;;;;;;;;;;;1450;1131
2001-08;Cundinamarca;8;2001;93.30089957;17.27975743;72.24181477;856.7966704;188.617616;1005.878092;817.1473029;8.275499281;0.468522972;0.291091136;27.27421064;11.65359311;0.051727839;1.313395128;0.319134445;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-12.8584799;-17.89884787;1.014830413;-20.55147046;-25.06749445;;;;;;;;;;;;1450;1131
2001-09;Cundinamarca;9;2001;164.9011693;16.87238338;76.46153871;996.4423613;13.45191811;964.7497042;951.1672265;7.842819282;0.533624214;0.341869407;25.73931438;12.33312332;0.048828501;1.691247722;0.415923241;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-4.443619646;-8.717233087;-2.350428323;-5.197114452;29.53564094;;;;;;;;;;;;1450;1131
2001-10;Cundinamarca;10;2001;165.3956375;17.21808898;79.8113962;1129.400815;0;955.5645115;955.5428846;8.213304508;0.486199992;0.322320204;26.10868748;12.00554111;0.043886597;1.642025303;0.401209764;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-14.09201828;-14.35507762;-3.332289165;-7.815922459;-20.65976358;;;;;;;;;;;;1450;1131
2001-11;Cundinamarca;11;2001;173.296934;16.80618486;82.34161201;1138.672154;1.98034241;928.23416;926.2290778;7.925969777;0.556719978;0.366716274;23.03472505;10.73293458;0.050265515;1.720897209;0.431547773;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-6.184693074;-5.201569347;10.69310465;-10.37814653;-7.209636811;;;;;;;;;;;;1450;1131
2001-12;Cundinamarca;12;2001;141.3587404;17.18773989;83.41855062;1156.384131;0.606355862;852.3272824;851.714153;8.396636452;0.630438151;0.40139463;22.28221788;12.46729286;0.042160536;2.134194694;0.504718057;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-4.039608011;-1.387342101;-8.4972518;-6.374124326;43.53467594;;;;;;;;;;;;1450;1131
